------------------------------------------------------------------------------------------------
Benchmark                                      Time             CPU   Iterations UserCounters...
------------------------------------------------------------------------------------------------
BM_HybridMap_Insert_Sequential/1024        80334 ns        79668 ns         8688 items_per_second=12.8533M/s
BM_HybridMap_Insert_Sequential/4096       321257 ns       316893 ns         2238 items_per_second=12.9255M/s
BM_HybridMap_Insert_Sequential/32768     2560303 ns      2535129 ns          279 items_per_second=12.9256M/s
BM_HybridMap_Insert_Sequential/262144   20337175 ns     20263471 ns           34 items_per_second=12.9368M/s
BM_StdMap_Insert_Sequential/1024          151883 ns       149865 ns         4706 items_per_second=6.83283M/s
BM_StdMap_Insert_Sequential/4096          600786 ns       596388 ns         1174 items_per_second=6.86801M/s
BM_StdMap_Insert_Sequential/32768        4803757 ns      4776490 ns          147 items_per_second=6.86027M/s
BM_StdMap_Insert_Sequential/262144      38343613 ns     38165611 ns           18 items_per_second=6.86859M/s
BM_HybridMap_Insert_Random/1024            82916 ns        82647 ns         8421 items_per_second=12.3901M/s
BM_HybridMap_Insert_Random/4096           340914 ns       339817 ns         2076 items_per_second=12.0535M/s
BM_HybridMap_Insert_Random/32768         2931296 ns      2921496 ns          234 items_per_second=11.2162M/s
BM_HybridMap_Insert_Random/262144       43754843 ns     43587706 ns           17 items_per_second=6.01417M/s
BM_StdMap_Insert_Random/1024              157444 ns       156860 ns         4364 items_per_second=6.52811M/s
BM_StdMap_Insert_Random/4096              642375 ns       638462 ns         1101 items_per_second=6.41541M/s
BM_StdMap_Insert_Random/32768            5337103 ns      5317131 ns          130 items_per_second=6.16272M/s
BM_StdMap_Insert_Random/262144          54371676 ns     53984214 ns           14 items_per_second=4.85594M/s
BM_HybridMap_Lookup_Hit/1024                35.1 ns         34.9 ns     20171690 items_per_second=28.67M/s
BM_HybridMap_Lookup_Hit/4096                34.8 ns         34.7 ns     20112342 items_per_second=28.83M/s
BM_HybridMap_Lookup_Hit/32768               34.5 ns         34.4 ns     20055295 items_per_second=29.0458M/s
BM_HybridMap_Lookup_Hit/262144              35.3 ns         35.1 ns     19903157 items_per_second=28.4813M/s
BM_StdMap_Lookup_Hit/1024                   27.8 ns         27.7 ns     25063105 items_per_second=36.1416M/s
BM_StdMap_Lookup_Hit/4096                   30.6 ns         30.4 ns     23126276 items_per_second=32.8635M/s
BM_StdMap_Lookup_Hit/32768                  37.9 ns         37.8 ns     18184180 items_per_second=26.4712M/s
BM_StdMap_Lookup_Hit/262144                 40.7 ns         40.5 ns     17401464 items_per_second=24.6823M/s
BM_HybridMap_Lookup_Miss/1024               12.4 ns         12.3 ns     56520897 items_per_second=81.0369M/s
BM_HybridMap_Lookup_Miss/4096               12.2 ns         12.2 ns     57803468 items_per_second=81.9111M/s
BM_HybridMap_Lookup_Miss/32768              12.3 ns         12.3 ns     56677408 items_per_second=81.26M/s
BM_HybridMap_Lookup_Miss/262144             12.5 ns         12.4 ns     56562457 items_per_second=80.4296M/s
BM_StdMap_Lookup_Miss/1024                  27.1 ns         26.9 ns     25937646 items_per_second=37.1719M/s
BM_StdMap_Lookup_Miss/4096                  28.3 ns         28.2 ns     24620926 items_per_second=35.4818M/s
BM_StdMap_Lookup_Miss/32768                 38.5 ns         38.3 ns     18352039 items_per_second=26.0985M/s
BM_StdMap_Lookup_Miss/262144                41.4 ns         41.2 ns     17059980 items_per_second=24.2508M/s
BM_HybridMap_String_Insert/1024           140467 ns       139904 ns         5013 items_per_second=7.31932M/s
BM_HybridMap_String_Insert/4096           569567 ns       567420 ns         1230 items_per_second=7.21863M/s
BM_HybridMap_String_Insert/32768         4968995 ns      4949050 ns          141 items_per_second=6.62107M/s
BM_HybridMap_String_Insert/65536        10598501 ns     10548588 ns           68 items_per_second=6.21277M/s
BM_StdMap_String_Insert/1024              217541 ns       216507 ns         3209 items_per_second=4.72963M/s
BM_StdMap_String_Insert/4096              888409 ns       884767 ns          789 items_per_second=4.62947M/s
BM_StdMap_String_Insert/32768            7496325 ns      7469128 ns           94 items_per_second=4.38713M/s
BM_StdMap_String_Insert/65536           15919562 ns     15845956 ns           45 items_per_second=4.13582M/s
BM_HybridMap_String_Lookup/1024              102 ns          100 ns      7087531 items_per_second=9.97981M/s
BM_HybridMap_String_Lookup/4096             99.6 ns         99.2 ns      7057519 items_per_second=10.0819M/s
BM_HybridMap_String_Lookup/32768             101 ns          101 ns      6860458 items_per_second=9.94684M/s
BM_HybridMap_String_Lookup/65536             103 ns          102 ns      6806558 items_per_second=9.76953M/s
BM_StdMap_String_Lookup/1024                 114 ns          114 ns      6158069 items_per_second=8.77532M/s
BM_StdMap_String_Lookup/4096                 119 ns          119 ns      5934567 items_per_second=8.41097M/s
BM_StdMap_String_Lookup/32768                129 ns          128 ns      5460815 items_per_second=7.79126M/s
BM_StdMap_String_Lookup/65536                129 ns          129 ns      5409290 items_per_second=7.77028M/s
